amplifier_id,mea1k_el,pad_id,depth,shank_id,y,x,metal,zone,y_order,x_order,pad_diameter_um,r,g,b,a,shank_name,y_aligned,x_aligned,el_pair,shank_side,mea1k_connectivity,connectivity_order,routed
283,20439,396.0,1380.0,1.0,463.0,310.0,2.0,2.0,6.0,4.0,30.0,198.0,205.0,228.0,1.0,anterior_short_shank,1606.0,3492.0,11.0,left,38.42946312736888,1.0,True
287,24183,427.0,5490.0,1.0,166.0,246.0,1.0,3.0,2.0,3.0,30.0,4.0,96.0,151.0,1.0,anterior_short_shank,1903.0,3556.0,45.0,left,38.43584158949551,1.0,True
291,24196,418.0,2820.0,1.0,173.0,24.0,2.0,2.0,10.0,0.0,30.0,125.0,173.0,209.0,1.0,anterior_short_shank,1896.0,3778.0,23.0,left,38.18958854073108,1.0,True
319,25076,420.0,2940.0,1.0,97.0,23.0,2.0,2.0,11.0,0.0,30.0,119.0,170.0,208.0,1.0,anterior_short_shank,1972.0,3779.0,24.0,left,38.0111993374221,1.0,True
335,22216,411.0,2340.0,1.0,316.0,24.0,2.0,2.0,8.0,0.0,30.0,151.0,183.0,215.0,1.0,anterior_short_shank,1753.0,3778.0,19.0,left,37.98767382919701,1.0,True
355,21116,406.0,1980.0,1.0,388.0,26.0,2.0,2.0,7.0,0.0,30.0,169.0,190.0,220.0,1.0,anterior_short_shank,1681.0,3776.0,16.0,left,34.346171526137724,1.0,True
375,20430,394.0,1260.0,1.0,460.0,457.0,2.0,2.0,6.0,6.0,30.0,203.0,206.0,229.0,1.0,anterior_short_shank,1609.0,3345.0,10.0,left,38.38236916796377,3.0,False
591,23929,479.0,3150.0,1.0,166.0,838.0,1.0,3.0,2.0,11.0,30.0,105.0,164.0,204.0,1.0,anterior_short_shank,1903.0,2964.0,73.0,right,32.114143339590235,2.0,False
387,25934,432.0,5850.0,1.0,22.0,393.0,1.0,3.0,0.0,5.0,30.0,4.0,87.0,137.0,1.0,anterior_short_shank,2047.0,3409.0,48.0,left,36.8978464871732,2.0,False
395,18666,378.0,2730.0,1.0,608.0,528.0,1.0,2.0,4.0,7.0,30.0,129.0,174.0,210.0,1.0,anterior_short_shank,1461.0,3274.0,22.0,left,38.26353280080298,2.0,False
399,24822,451.0,4620.0,1.0,94.0,610.0,2.0,3.0,1.0,8.0,30.0,18.0,121.0,181.0,1.0,anterior_short_shank,1975.0,3192.0,38.0,left,38.34892220397098,2.0,False
403,23079,431.0,3540.0,1.0,239.0,318.0,2.0,3.0,3.0,4.0,30.0,81.0,155.0,199.0,1.0,anterior_short_shank,1830.0,3484.0,29.0,left,38.71305060146364,1.0,True
407,25059,429.0,3420.0,1.0,92.0,318.0,2.0,3.0,1.0,4.0,30.0,87.0,157.0,200.0,1.0,anterior_short_shank,1977.0,3484.0,28.0,left,38.15448519961533,1.0,True
411,22427,409.0,2220.0,1.0,317.0,169.0,2.0,2.0,8.0,2.0,30.0,157.0,185.0,217.0,1.0,anterior_short_shank,1752.0,3633.0,18.0,left,38.05222439433508,2.0,False
415,22863,412.0,4650.0,1.0,243.0,239.0,1.0,2.0,9.0,3.0,30.0,15.0,119.0,179.0,1.0,anterior_short_shank,1826.0,3563.0,38.0,left,38.61641628152869,1.0,True
419,23053,470.0,5700.0,1.0,237.0,760.0,2.0,3.0,3.0,10.0,30.0,4.0,92.0,144.0,1.0,anterior_short_shank,1832.0,3042.0,47.0,left,36.81248548103917,1.0,True
423,18653,475.0,3390.0,1.0,596.0,760.0,1.0,3.0,8.0,10.0,30.0,91.0,159.0,202.0,1.0,anterior_short_shank,1473.0,3042.0,71.0,right,38.31307184834824,1.0,True
427,24843,426.0,3300.0,1.0,94.0,246.0,2.0,3.0,1.0,3.0,30.0,95.0,160.0,202.0,1.0,anterior_short_shank,1975.0,3556.0,27.0,left,38.17265462885811,1.0,True
431,23311,414.0,4770.0,1.0,244.0,97.0,1.0,2.0,9.0,1.0,30.0,10.0,116.0,178.0,1.0,anterior_short_shank,1825.0,3705.0,39.0,left,38.35215519164477,1.0,True
439,23950,439.0,5670.0,1.0,166.0,464.0,1.0,3.0,2.0,6.0,30.0,5.0,94.0,146.0,1.0,anterior_short_shank,1903.0,3338.0,52.0,right,38.42251659100748,1.0,True
391,20642,456.0,4590.0,1.0,453.0,612.0,1.0,3.0,6.0,8.0,30.0,17.0,120.0,180.0,1.0,anterior_short_shank,1616.0,3190.0,61.0,right,38.32237304894885,1.0,True
259,19563,390.0,3450.0,1.0,534.0,240.0,1.0,2.0,5.0,3.0,30.0,85.0,156.0,199.0,1.0,anterior_short_shank,1535.0,3562.0,28.0,left,38.32777640669311,2.0,False
595,15569,344.0,810.0,1.0,844.0,816.0,1.0,2.0,1.0,11.0,30.0,218.0,217.0,234.0,1.0,anterior_short_shank,1225.0,2986.0,6.0,left,38.455875538365696,2.0,False
603,23070,440.0,4020.0,1.0,237.0,464.0,2.0,3.0,3.0,6.0,30.0,49.0,141.0,190.0,1.0,anterior_short_shank,1832.0,3338.0,33.0,left,38.56141773696638,1.0,True
767,14690,332.0,90.0,1.0,925.0,816.0,1.0,2.0,0.0,11.0,30.0,238.0,233.0,243.0,1.0,anterior_short_shank,1144.0,2986.0,0.0,left,38.20561061011197,1.0,True
771,17539,509.0,3960.0,1.0,668.0,1002.0,2.0,3.0,9.0,13.0,30.0,51.0,142.0,191.0,1.0,anterior_short_shank,1401.0,2800.0,66.0,right,38.41223369778512,3.0,False
775,25019,501.0,4440.0,1.0,94.0,1002.0,2.0,3.0,1.0,13.0,30.0,28.0,127.0,184.0,1.0,anterior_short_shank,1975.0,2800.0,62.0,right,36.950692326685015,1.0,True
779,21490,532.0,2640.0,1.0,382.0,1175.0,2.0,3.0,5.0,15.0,30.0,135.0,177.0,212.0,1.0,anterior_short_shank,1687.0,2627.0,77.0,right,34.68407089681392,1.0,True
787,17754,522.0,3240.0,1.0,668.0,1088.0,2.0,3.0,9.0,14.0,30.0,101.0,163.0,204.0,1.0,anterior_short_shank,1401.0,2714.0,72.0,right,38.72939406505883,1.0,True
791,16874,523.0,390.0,1.0,740.0,1088.0,1.0,3.0,10.0,14.0,30.0,230.0,226.0,240.0,1.0,anterior_short_shank,1329.0,2714.0,96.0,right,38.46576896436175,1.0,True
795,21280,505.0,4200.0,1.0,380.0,1002.0,2.0,3.0,5.0,13.0,30.0,39.0,134.0,187.0,1.0,anterior_short_shank,1689.0,2800.0,64.0,right,26.32968675875685,1.0,True
803,17099,510.0,1230.0,1.0,740.0,1000.0,1.0,3.0,10.0,13.0,30.0,205.0,208.0,230.0,1.0,anterior_short_shank,1329.0,2802.0,89.0,right,38.64488030296047,2.0,False
811,21505,493.0,4920.0,1.0,382.0,918.0,2.0,3.0,5.0,12.0,30.0,6.0,111.0,175.0,1.0,anterior_short_shank,1687.0,2884.0,58.0,right,38.27406459645433,1.0,True
819,24808,478.0,5760.0,1.0,94.0,836.0,2.0,3.0,1.0,11.0,30.0,4.0,90.0,141.0,1.0,anterior_short_shank,1975.0,2966.0,51.0,right,38.46556040297683,2.0,False
823,21485,546.0,1800.0,1.0,382.0,1266.0,2.0,3.0,5.0,16.0,30.0,177.0,194.0,222.0,1.0,anterior_short_shank,1687.0,2536.0,84.0,right,38.12693286092736,1.0,True
827,14235,526.0,3000.0,1.0,955.0,1088.0,2.0,3.0,13.0,14.0,30.0,115.0,168.0,207.0,1.0,anterior_short_shank,1114.0,2714.0,74.0,right,38.173031512733935,1.0,True
835,23249,530.0,2760.0,1.0,237.0,1175.0,2.0,3.0,3.0,15.0,30.0,130.0,175.0,211.0,1.0,anterior_short_shank,1832.0,2627.0,76.0,right,38.322301074312605,1.0,True
843,17524,550.0,1560.0,1.0,668.0,1264.0,2.0,3.0,9.0,16.0,30.0,190.0,201.0,226.0,1.0,anterior_short_shank,1401.0,2538.0,86.0,right,38.15927305346454,1.0,True
851,21259,560.0,960.0,1.0,382.0,1353.0,2.0,3.0,5.0,17.0,30.0,213.0,213.0,232.0,1.0,anterior_short_shank,1687.0,2449.0,91.0,right,38.456402174502095,1.0,True
855,15785,499.0,4560.0,1.0,811.0,918.0,2.0,3.0,11.0,12.0,30.0,19.0,121.0,181.0,1.0,anterior_short_shank,1258.0,2884.0,61.0,right,38.37208278591102,1.0,True
867,19729,534.0,2520.0,1.0,526.0,1177.0,2.0,3.0,7.0,15.0,30.0,141.0,179.0,213.0,1.0,anterior_short_shank,1543.0,2625.0,78.0,right,38.10919963924141,1.0,True
871,23234,572.0,240.0,1.0,239.0,1440.0,2.0,3.0,3.0,18.0,30.0,235.0,230.0,241.0,1.0,anterior_short_shank,1830.0,2362.0,97.0,right,36.77950901460958,1.0,True
879,19520,507.0,4080.0,1.0,526.0,1002.0,2.0,3.0,7.0,13.0,30.0,45.0,138.0,189.0,1.0,anterior_short_shank,1543.0,2800.0,65.0,right,38.65476733308709,1.0,True
919,23239,558.0,1080.0,1.0,239.0,1352.0,2.0,3.0,3.0,17.0,30.0,211.0,212.0,232.0,1.0,anterior_short_shank,1830.0,2450.0,90.0,right,38.17270055822053,1.0,True
